year,strain,sample_size,age_days,month_num,month_en
2021,balb/c nude,36,70.0,10,october
2021,balb/c,60,70.0,10,october
2022,balb/c nude,50,77.0,8,august
2022,balb/c,40,77.0,8,august
2022,balb/c nude,50,77.0,8,august
2022,c57bl-6,35,42.0,8,august
2022,c57bl-6,35,42.0,8,august
2022,c57bl-6,35,42.0,8,august
2022,c57bl-6,24,56.0,4,april
2022,lit/lit,40,30.0,4,april
2022,balb/c nude,168,56.0,2,february
2022,c57bl-6,21,56.0,2,february
2022,balb/c nude,70,77.0,2,february
2022,balb/c,30,126.0,12,december
2022,scid,40,126.0,12,december
2022,balb/c,50,70.0,11,november
2022,scid,60,77.0,12,december
2023,balb/c,36,56.0,4,april
2022,c57bl-6,98,77.0,10,october
2022,balb/c,36,49.0,9,september
2022,balb/c,42,49.0,9,september
2022,balb/c nude,108,49.0,9,september
2022,balb/c,72,49.0,8,august
2022,balb/c nude,45,77.0,8,august
2023,balb/c nude,50,77.0,3,march
2023,balb/c nude,50,77.0,3,march
2023,balb/c nude,50,77.0,3,march
2023,balb/c,40,35.0,10,october
2023,scid,74,35.0,10,october
2023,balb/c nude,80,84.0,9,september
2023,balb/c nude,30,49.0,6,june
2024,c57bl-6,50,56.0,7,july
2023,balb/c nude,36,38.5,3,march
2023,balb/c nude,50,77.0,3,march
2024,c57bl-6,90,56.0,12,december
2024,c57bl-6,30,56.0,12,december
2024,balb/c nude,30,77.0,12,december
2024,balb/c nude,30,77.0,12,december
2024,balb/c,36,35.0,9,september
2024,balb/c nude,40,42.0,9,september
2024,balb/c nude,90,45.5,9,september
2024,balb/c nude,40,49.0,8,august
2024,balb/c nude,106,70.0,7,july
2024,balb/c,108,70.0,6,june
2024,balb/c,60,140.0,9,september
2024,c57bl-6,30,70.0,5,may
2024,balb/c nude,140,77.0,6,june
2024,c57bl-6,60,70.0,5,may
2024,balb/c nude,100,77.0,5,may
2024,lit/lit,90,45.0,4,april
2024,balb/c,90,49.0,3,march
2024,balb/c,40,35.0,3,march
2024,scid,28,35.0,3,march
2024,balb/c nude,84,49.0,1,january
